"Region","Lat","Long","TotalCases","Average","SD"
"Egypt/",26.820553,30.802498,334600873,292739.171478565,188698.551738912
"El Salvador/",13.7942,-88.8965,113567058,99358.7559055118,71200.9907456607
"Equatorial Guinea/",1.6508,10.2679,11448174,10015.9002624672,6037.8159740177
"Eritrea/",15.1794,39.7823,6235402,5455.29483814523,4128.37167194051
"Estonia/",58.5953,25.0136,291006254,254598.647419073,250336.041965107
"Eswatini/",-26.5225,31.4659,42980649,37603.3674540682,30312.4609996343
"Ethiopia/",9.145,40.4897,321253355,281061.552930884,190727.219817553
"Fiji/",-17.7134,178.065,36794437,32191.1084864392,31112.3649415779
"Finland/",61.92411,25.748151,529055121,462865.372703412,553225.283753277
"France/French Guiana",3.9339,-53.1258,50323143,44027.2467191601,36515.528269381
"France/French Polynesia",-17.6797,149.4068,42524612,37204.384951881,30426.2305406532
"France/Guadeloupe",16.265,-61.551,83236250,72822.6159230096,78402.106120253
"France/Martinique",14.6415,-61.0242,87938420,76936.5004374453,89564.3479522215
"France/Mayotte",-12.8275,45.166244,24311005,21269.4706911636,15356.8917228052
"France/New Caledonia",-20.904305,165.618042,29091897,25452.2283464567,32524.3892344888
"France/Reunion",-21.1151,55.5364,189044287,165393.076990376,199391.71525253
"France/Saint Barthelemy",17.9,-62.8333,2475216,2165.54330708661,2124.67419231117
"France/Saint Pierre and Miquelon",46.8852,-56.3159,1161230,1015.94925634296,1395.54437684926
"France/St Martin",18.0708,-63.0501,5791443,5066.87926509186,4868.44266477037
"France/Wallis and Futuna",-14.2938,-178.1165,788871,690.175853018373,1076.19456930896
"France/",46.2276,2.2137,15589225512,13638867.4645669,14219235.7262345
"Gabon/",-0.8037,11.6094,31568025,27618.5695538058,18551.821548544
"Gambia/",13.4432,-15.3101,8425604,7371.48206474191,4686.04033678627
"Georgia/",42.3154,43.3569,898731351,786291.645669291,727608.985045359
"Germany/",51.165691,10.451526,13686043720,11973791.5310586,13955825.6084179
"Ghana/",7.9465,-1.0232,117781853,103046.240594926,60270.8258859642
"Greece/",39.0742,21.8243,1964682966,1718882.73490814,2037360.12226928
"Grenada/",12.1165,-61.679,8143276,7124.47594050744,8296.19012199923
"Guatemala/",15.7835,-90.2308,578700431,506299.58967629,429429.284635747
"Guinea/",9.9456,-9.6966,27081703,23693.5284339458,13434.719408911
"Guinea-Bissau/",11.8037,-15.1804,5789358,5065.05511811024,3065.23757768339
"Guyana/",4.860416,-58.93018,37410507,32730.1023622047,29021.092084706
"Haiti/",18.9712,-72.2852,22170826,19397.0481189851,11843.6403469356
"Holy See/",41.9029,12.4534,26807,23.4531933508311,8.5384289357149
"Honduras/",15.2,-86.2419,302670683,264803.747156605,172163.200893365
"Hungary/",47.1625,19.5033,1142912051,999923.05424322,828174.065139804
"Iceland/",64.9631,-19.0208,82359288,72055.3700787402,89444.1659010872
"India/",20.593684,78.96288,29131119694,25486543.9142607,17596404.8578561
"Indonesia/",-0.7893,113.9213,3692406698,3230452.05424322,2603755.82126941
"Iran/",32.427908,53.688046,4612422449,4035365.22222222,3040867.13483386
"Iraq/",33.223191,43.679291,1609076462,1407765.93350831,961938.344004246
"Ireland/",53.1424,-7.6921,801077962,700855.609798775,688378.517389589
"Israel/",31.046051,34.851612,2221969354,1943980.1872266,1876183.11130499
"Italy/",41.87194,12.56738,10083161678,8821663.76027996,9064593.2527906
"Jamaica/",18.1096,-77.2975,82599171,72265.2414698163,60209.72714891
"Japan/",36.204824,138.252924,7338211631,6420132.66054243,9814004.92824282
"Jordan/",31.24,36.51,991230386,867218.185476815,693731.321770643
"Kazakhstan/",48.0196,66.9237,864952333,756738.69903762,594139.252908943
"Kenya/",-0.0236,37.9062,221315836,193627.153105862,131481.50996783
"Kiribati/",-3.3704,-168.734,1396540,1221.81977252843,1709.93860175748
"Korea, North/",40.3399,127.5101,300,0.26246719160105,0.440167778193093
"Korea, South/",35.907757,127.766922,8467888968,7408476.78740157,10970768.3440865
"Kosovo/",42.602636,20.902977,152691820,133588.64391951,101411.63390166
"Kuwait/",29.31166,47.481766,413219780,361522.117235346,246515.725741709
"Kyrgyzstan/",41.20438,74.766098,146035075,127764.720034996,77582.79580029
"Laos/",19.85627,102.495496,92246655,80705.7349081365,94963.7319961854
"Latvia/",56.8796,24.6032,412014336,360467.485564304,386906.914443281
"Lebanon/",33.8547,35.8623,695765599,608718.809273841,467789.93143274
"Lesotho/",-29.61,28.2336,19994674,17493.1531058618,14092.7136159604
"Liberia/",6.428055,-9.429499,5024859,4396.20209973753,3041.38696444998
"Libya/",26.3351,17.228331,308848756,270208.885389326,203949.656913566
"Liechtenstein/",47.14,9.55,8971160,7848.78390201225,8164.47670607761
"Lithuania/",55.1694,23.8813,608270188,532169.893263342,507812.270915154
"Luxembourg/",49.8153,6.1296,141673313,123948.655293088,114436.902260224
"MS Zaandam/",0,0,9665,8.45581802274716,2.13459512112449
"Madagascar/",-18.766947,46.869107,44143489,38620.7252843395,24657.611203774
"Malawi/",-13.2543,34.3015,54666386,47827.1093613298,35777.4055615999
"Malaysia/",4.210484,101.975766,2374175078,2077143.55030621,2035893.97845708
"Maldives/",3.2028,73.2207,99525516,87073.9422572178,75652.7572066173
"Mali/",17.570692,-3.996166,19265306,16855.0358705162,12448.497173223
"Malta/",35.9375,14.3754,55970183,48967.7891513561,43798.156400198
"Marshall Islands/",7.1315,171.1845,3135141,2742.90551181102,5854.01036126545
"Mauritania/",21.0079,-10.9408,37307802,32640.2467191601,24350.7518057041
"Mauritius/",-20.348404,57.552152,104989937,91854.7130358705,115790.660552226
"Mexico/",23.6345,-102.5528,3944108014,3450663.17935258,2590524.35374638
